
GEPA Optimization:   0%|          | 0/3593 [00:00<?, ?rollouts/s]
GEPA Optimization:   8%|8         | 300/3593 [13:17<2:25:58,  2.66s/rollouts]
GEPA Optimization:   9%|8         | 306/3593 [13:38<2:26:57,  2.68s/rollouts]
GEPA Optimization:   9%|8         | 312/3593 [13:56<2:27:14,  2.69s/rollouts]
GEPA Optimization:   9%|8         | 318/3593 [14:33<2:36:48,  2.87s/rollouts]
GEPA Optimization:   9%|9         | 324/3593 [14:57<2:40:32,  2.95s/rollouts]
GEPA Optimization:   9%|9         | 330/3593 [15:05<2:32:43,  2.81s/rollouts]
GEPA Optimization:  18%|#7        | 633/3593 [36:18<3:18:02,  4.01s/rollouts]
GEPA Optimization:  18%|#7        | 639/3593 [36:30<3:15:12,  3.96s/rollouts]
GEPA Optimization:  18%|#7        | 645/3593 [36:58<3:16:00,  3.99s/rollouts]
GEPA Optimization:  18%|#8        | 651/3593 [37:34<3:19:57,  4.08s/rollouts]
GEPA Optimization:  18%|#8        | 657/3593 [37:54<3:17:26,  4.03s/rollouts]
GEPA Optimization:  18%|#8        | 663/3593 [38:17<3:16:17,  4.02s/rollouts]
GEPA Optimization:  19%|#8        | 669/3593 [38:45<3:19:02,  4.08s/rollouts]
GEPA Optimization:  19%|#8        | 675/3593 [39:23<3:33:01,  4.38s/rollouts]
GEPA Optimization:  19%|#8        | 681/3593 [39:37<3:16:31,  4.05s/rollouts]
GEPA Optimization:  19%|#9        | 687/3593 [40:08<3:26:21,  4.26s/rollouts]
GEPA Optimization:  19%|#9        | 693/3593 [40:33<3:25:15,  4.25s/rollouts]
GEPA Optimization:  19%|#9        | 699/3593 [41:13<3:51:31,  4.80s/rollouts]
GEPA Optimization:  20%|#9        | 705/3593 [41:33<3:33:42,  4.44s/rollouts]
GEPA Optimization:  20%|#9        | 711/3593 [42:05<3:44:09,  4.67s/rollouts]
GEPA Optimization:  20%|#9        | 717/3593 [42:23<3:21:18,  4.20s/rollouts]
GEPA Optimization:  20%|##        | 723/3593 [43:06<4:00:03,  5.02s/rollouts]
GEPA Optimization:  20%|##        | 729/3593 [43:59<4:51:51,  6.11s/rollouts]
GEPA Optimization:  20%|##        | 735/3593 [44:48<5:20:00,  6.72s/rollouts]
GEPA Optimization:  21%|##        | 741/3593 [45:18<4:55:55,  6.23s/rollouts]
GEPA Optimization:  21%|##        | 747/3593 [45:30<3:55:17,  4.96s/rollouts]
GEPA Optimization:  29%|##9       | 1050/3593 [1:07:21<3:04:37,  4.36s/rollouts]
GEPA Optimization:  29%|##9       | 1056/3593 [1:07:55<3:05:31,  4.39s/rollouts]
GEPA Optimization:  30%|##9       | 1062/3593 [1:08:07<3:01:29,  4.30s/rollouts]
GEPA Optimization:  30%|##9       | 1068/3593 [1:08:35<3:01:50,  4.32s/rollouts]
GEPA Optimization:  30%|##9       | 1074/3593 [1:08:57<2:59:50,  4.28s/rollouts]
GEPA Optimization:  30%|###       | 1080/3593 [1:09:06<2:49:16,  4.04s/rollouts]
GEPA Optimization:  30%|###       | 1086/3593 [1:09:47<3:01:33,  4.35s/rollouts]
GEPA Optimization:  30%|###       | 1092/3593 [1:10:20<3:07:58,  4.51s/rollouts]
GEPA Optimization:  31%|###       | 1098/3593 [1:11:00<3:20:59,  4.83s/rollouts]
GEPA Optimization:  31%|###       | 1104/3593 [1:11:33<3:26:01,  4.97s/rollouts]
GEPA Optimization:  31%|###       | 1110/3593 [1:12:06<3:30:14,  5.08s/rollouts]
GEPA Optimization:  31%|###1      | 1116/3593 [1:12:40<3:35:29,  5.22s/rollouts]
GEPA Optimization:  31%|###1      | 1121/3593 [1:13:17<3:53:54,  5.68s/rollouts]
GEPA Optimization:  31%|###1      | 1127/3593 [1:14:10<4:28:42,  6.54s/rollouts]
GEPA Optimization:  32%|###1      | 1133/3593 [1:14:55<4:39:21,  6.81s/rollouts]
GEPA Optimization:  32%|###1      | 1138/3593 [1:15:34<4:48:02,  7.04s/rollouts]
GEPA Optimization:  32%|###1      | 1143/3593 [1:16:13<4:57:19,  7.28s/rollouts]
GEPA Optimization:  32%|###1      | 1146/3593 [1:16:45<5:20:58,  7.87s/rollouts]
GEPA Optimization:  32%|###2      | 1152/3593 [1:17:28<5:11:29,  7.66s/rollouts]
GEPA Optimization:  32%|###2      | 1158/3593 [1:17:59<4:36:41,  6.82s/rollouts]
GEPA Optimization:  32%|###2      | 1164/3593 [1:18:30<4:14:54,  6.30s/rollouts]
GEPA Optimization:  33%|###2      | 1168/3593 [1:18:50<4:02:43,  6.01s/rollouts]
GEPA Optimization:  41%|####      | 1471/3593 [1:28:04<1:10:15,  1.99s/rollouts]
GEPA Optimization:  41%|####1     | 1477/3593 [1:28:27<1:11:44,  2.03s/rollouts]
GEPA Optimization:  41%|####1     | 1483/3593 [1:28:49<1:13:34,  2.09s/rollouts]
GEPA Optimization:  41%|####1     | 1489/3593 [1:29:07<1:14:58,  2.14s/rollouts]
GEPA Optimization:  42%|####1     | 1495/3593 [1:29:43<1:23:38,  2.39s/rollouts]
GEPA Optimization:  42%|####1     | 1498/3593 [1:30:11<1:34:35,  2.71s/rollouts]
GEPA Optimization:  42%|####1     | 1504/3593 [1:30:33<1:37:57,  2.81s/rollouts]
GEPA Optimization:  42%|####2     | 1510/3593 [1:31:16<1:59:33,  3.44s/rollouts]
GEPA Optimization:  42%|####2     | 1516/3593 [1:31:24<1:46:34,  3.08s/rollouts]
GEPA Optimization:  51%|#####     | 1819/3593 [1:47:13<1:32:28,  3.13s/rollouts]
GEPA Optimization:  51%|#####     | 1825/3593 [1:47:39<1:33:05,  3.16s/rollouts]
GEPA Optimization:  51%|#####     | 1831/3593 [1:48:26<1:37:36,  3.32s/rollouts]
