
GEPA Optimization:   0%|          | 0/718 [00:00<?, ?rollouts/s]
GEPA Optimization:  42%|####1     | 300/718 [18:45<26:08,  3.75s/rollouts]
GEPA Optimization:  42%|####2     | 303/718 [19:03<26:09,  3.78s/rollouts]
GEPA Optimization:  43%|####2     | 306/718 [19:26<26:29,  3.86s/rollouts]
GEPA Optimization:  43%|####3     | 309/718 [19:50<27:04,  3.97s/rollouts]
GEPA Optimization:  44%|####3     | 315/718 [20:19<27:08,  4.04s/rollouts]
GEPA Optimization:  44%|####4     | 318/718 [20:38<27:39,  4.15s/rollouts]
GEPA Optimization:  45%|####4     | 321/718 [20:56<28:13,  4.27s/rollouts]
GEPA Optimization:  45%|####5     | 324/718 [21:19<29:59,  4.57s/rollouts]
GEPA Optimization:  46%|####5     | 327/718 [21:38<31:06,  4.77s/rollouts]
GEPA Optimization:  46%|####5     | 330/718 [22:04<34:02,  5.27s/rollouts]
GEPA Optimization:  46%|####6     | 333/718 [22:22<34:50,  5.43s/rollouts]
GEPA Optimization:  47%|####6     | 336/718 [22:42<35:43,  5.61s/rollouts]
GEPA Optimization:  47%|####7     | 339/718 [23:05<38:28,  6.09s/rollouts]
GEPA Optimization:  48%|####7     | 342/718 [23:23<37:50,  6.04s/rollouts]
GEPA Optimization:  48%|####8     | 345/718 [23:41<37:35,  6.05s/rollouts]
GEPA Optimization:  49%|####8     | 351/718 [24:05<31:53,  5.21s/rollouts]
GEPA Optimization:  49%|####9     | 354/718 [24:27<34:23,  5.67s/rollouts]
GEPA Optimization:  50%|####9     | 357/718 [24:46<35:14,  5.86s/rollouts]
GEPA Optimization:  50%|#####     | 360/718 [25:11<38:24,  6.44s/rollouts]
GEPA Optimization:  51%|#####     | 363/718 [25:34<40:19,  6.81s/rollouts]
GEPA Optimization:  51%|#####     | 366/718 [25:57<41:15,  7.03s/rollouts]
GEPA Optimization:  51%|#####1    | 369/718 [26:20<41:54,  7.20s/rollouts]
GEPA Optimization:  52%|#####1    | 372/718 [26:44<42:48,  7.42s/rollouts]
GEPA Optimization:  52%|#####2    | 375/718 [27:07<42:49,  7.49s/rollouts]
GEPA Optimization:  53%|#####2    | 378/718 [27:29<42:38,  7.53s/rollouts]
GEPA Optimization:  53%|#####3    | 381/718 [27:53<42:46,  7.62s/rollouts]
GEPA Optimization:  53%|#####3    | 384/718 [28:10<39:18,  7.06s/rollouts]
