
GEPA Optimization:   0%|          | 0/718 [00:00<?, ?rollouts/s]QA eval error (1 consecutive): litellm.ContextWindowExceededError: litellm.BadRequestError: ContextWindowExceededError: OpenAIException - This model's maximum context length is 4096 tokens. However, you requested 512 output tokens and your prompt contains at least 3585 input tokens, for a total of at least 4097 tokens. Please reduce the length of the input prompt or the number of requested output tokens. (parameter=input_tokens, value=3585)

GEPA Optimization:  42%|####1     | 300/718 [37:56<52:52,  7.59s/rollouts]
GEPA Optimization:  42%|####2     | 303/718 [38:10<52:12,  7.55s/rollouts]
GEPA Optimization:  43%|####2     | 306/718 [38:42<52:15,  7.61s/rollouts]
GEPA Optimization:  43%|####3     | 309/718 [38:54<51:10,  7.51s/rollouts]
GEPA Optimization:  44%|####3     | 315/718 [40:21<53:50,  8.01s/rollouts]
GEPA Optimization:  44%|####4     | 318/718 [40:36<52:24,  7.86s/rollouts]
GEPA Optimization:  45%|####4     | 321/718 [41:07<53:06,  8.03s/rollouts]
GEPA Optimization:  46%|####5     | 327/718 [42:22<56:56,  8.74s/rollouts]
GEPA Optimization:  46%|####5     | 330/718 [42:36<53:45,  8.31s/rollouts]
GEPA Optimization:  46%|####6     | 333/718 [43:11<56:09,  8.75s/rollouts]
GEPA Optimization:  47%|####6     | 336/718 [43:43<57:39,  9.06s/rollouts]
GEPA Optimization:  47%|####7     | 339/718 [44:23<1:02:11,  9.84s/rollouts]
GEPA Optimization:  48%|####7     | 342/718 [44:35<54:09,  8.64s/rollouts]  
GEPA Optimization:  48%|####8     | 345/718 [44:45<46:21,  7.46s/rollouts]
GEPA Optimization:  48%|####8     | 348/718 [44:51<37:36,  6.10s/rollouts]
GEPA Optimization:  49%|####9     | 354/718 [45:36<40:30,  6.68s/rollouts]
GEPA Optimization:  50%|####9     | 357/718 [46:09<46:03,  7.65s/rollouts]
GEPA Optimization:  50%|#####     | 360/718 [46:24<41:32,  6.96s/rollouts]
GEPA Optimization:  51%|#####     | 363/718 [46:47<42:20,  7.16s/rollouts]
GEPA Optimization:  51%|#####     | 366/718 [46:59<37:05,  6.32s/rollouts]
GEPA Optimization:  51%|#####1    | 369/718 [47:21<38:28,  6.62s/rollouts]
GEPA Optimization:  52%|#####2    | 375/718 [48:21<46:21,  8.11s/rollouts]
GEPA Optimization:  53%|#####2    | 378/718 [48:55<50:08,  8.85s/rollouts]
GEPA Optimization:  53%|#####3    | 384/718 [49:58<53:19,  9.58s/rollouts]
GEPA Optimization:  54%|#####4    | 390/718 [51:21<1:00:38, 11.09s/rollouts]
GEPA Optimization:  55%|#####4    | 393/718 [51:56<1:00:54, 11.24s/rollouts]
GEPA Optimization:  55%|#####5    | 396/718 [52:22<57:05, 10.64s/rollouts]  
GEPA Optimization:  56%|#####5    | 399/718 [52:52<55:39, 10.47s/rollouts]
GEPA Optimization:  56%|#####5    | 402/718 [53:06<47:23,  9.00s/rollouts]
GEPA Optimization:  56%|#####6    | 405/718 [53:22<41:54,  8.03s/rollouts]
GEPA Optimization:  57%|#####6    | 408/718 [54:06<50:45,  9.82s/rollouts]
GEPA Optimization:  57%|#####7    | 411/718 [54:47<56:04, 10.96s/rollouts]
GEPA Optimization:  58%|#####7    | 414/718 [55:01<46:08,  9.11s/rollouts]
GEPA Optimization:  58%|#####8    | 417/718 [55:09<36:12,  7.22s/rollouts]
GEPA Optimization:  58%|#####8    | 420/718 [55:32<36:48,  7.41s/rollouts]
GEPA Optimization:  59%|#####8    | 423/718 [55:44<31:11,  6.34s/rollouts]
GEPA Optimization:  59%|#####9    | 426/718 [55:59<29:00,  5.96s/rollouts]
GEPA Optimization:  60%|######    | 432/718 [57:46<54:22, 11.41s/rollouts]
GEPA Optimization:  61%|######1   | 438/718 [58:55<53:24, 11.45s/rollouts]
GEPA Optimization:  61%|######1   | 441/718 [59:25<51:23, 11.13s/rollouts]
GEPA Optimization:  62%|######1   | 444/718 [1:00:07<53:57, 11.82s/rollouts]
GEPA Optimization:  62%|######2   | 447/718 [1:00:27<47:30, 10.52s/rollouts]
