
GEPA Optimization:   0%|          | 0/3593 [00:00<?, ?rollouts/s]
GEPA Optimization:   8%|8         | 300/3593 [02:31<27:42,  1.98rollouts/s]
GEPA Optimization:   8%|8         | 303/3593 [02:32<27:33,  1.99rollouts/s]
GEPA Optimization:   9%|8         | 306/3593 [02:34<27:42,  1.98rollouts/s]
GEPA Optimization:   9%|8         | 309/3593 [02:35<27:35,  1.98rollouts/s]
GEPA Optimization:   9%|8         | 312/3593 [02:36<27:13,  2.01rollouts/s]
GEPA Optimization:   9%|8         | 315/3593 [02:39<28:08,  1.94rollouts/s]
GEPA Optimization:   9%|8         | 318/3593 [02:40<28:04,  1.94rollouts/s]
GEPA Optimization:   9%|8         | 321/3593 [02:42<28:20,  1.92rollouts/s]
GEPA Optimization:   9%|9         | 324/3593 [02:43<26:55,  2.02rollouts/s]
GEPA Optimization:   9%|9         | 327/3593 [02:45<27:51,  1.95rollouts/s]
GEPA Optimization:   9%|9         | 330/3593 [02:47<29:05,  1.87rollouts/s]
GEPA Optimization:   9%|9         | 333/3593 [02:48<27:01,  2.01rollouts/s]
GEPA Optimization:   9%|9         | 336/3593 [02:50<28:49,  1.88rollouts/s]
GEPA Optimization:   9%|9         | 339/3593 [02:52<30:53,  1.76rollouts/s]
GEPA Optimization:  10%|9         | 342/3593 [02:53<27:10,  1.99rollouts/s]
GEPA Optimization:  10%|9         | 345/3593 [02:54<26:04,  2.08rollouts/s]
GEPA Optimization:  10%|9         | 348/3593 [02:55<24:09,  2.24rollouts/s]
GEPA Optimization:  10%|9         | 351/3593 [02:58<30:13,  1.79rollouts/s]
GEPA Optimization:  10%|9         | 354/3593 [02:59<30:34,  1.77rollouts/s]
GEPA Optimization:  10%|9         | 357/3593 [03:01<28:59,  1.86rollouts/s]
GEPA Optimization:  10%|#         | 360/3593 [03:02<25:30,  2.11rollouts/s]
GEPA Optimization:  10%|#         | 363/3593 [03:03<25:31,  2.11rollouts/s]
GEPA Optimization:  10%|#         | 366/3593 [03:05<26:57,  1.99rollouts/s]
GEPA Optimization:  10%|#         | 369/3593 [03:06<26:21,  2.04rollouts/s]
GEPA Optimization:  10%|#         | 372/3593 [03:08<29:49,  1.80rollouts/s]
GEPA Optimization:  10%|#         | 375/3593 [03:10<28:12,  1.90rollouts/s]
GEPA Optimization:  11%|#         | 378/3593 [03:11<26:19,  2.04rollouts/s]
GEPA Optimization:  11%|#         | 381/3593 [03:13<27:56,  1.92rollouts/s]
GEPA Optimization:  11%|#         | 384/3593 [03:14<27:30,  1.94rollouts/s]
GEPA Optimization:  11%|#         | 387/3593 [03:16<25:59,  2.06rollouts/s]
GEPA Optimization:  11%|#         | 390/3593 [03:17<24:31,  2.18rollouts/s]
GEPA Optimization:  11%|#         | 393/3593 [03:18<23:41,  2.25rollouts/s]
GEPA Optimization:  11%|#1        | 396/3593 [03:20<25:10,  2.12rollouts/s]
GEPA Optimization:  11%|#1        | 399/3593 [03:22<29:10,  1.83rollouts/s]
GEPA Optimization:  11%|#1        | 402/3593 [03:23<27:38,  1.92rollouts/s]
GEPA Optimization:  11%|#1        | 405/3593 [03:25<31:50,  1.67rollouts/s]
GEPA Optimization:  11%|#1        | 408/3593 [03:27<28:26,  1.87rollouts/s]
GEPA Optimization:  11%|#1        | 411/3593 [03:29<31:59,  1.66rollouts/s]
GEPA Optimization:  12%|#1        | 414/3593 [03:32<36:21,  1.46rollouts/s]
GEPA Optimization:  12%|#1        | 417/3593 [03:33<34:26,  1.54rollouts/s]
GEPA Optimization:  12%|#1        | 420/3593 [03:34<29:13,  1.81rollouts/s]
GEPA Optimization:  12%|#1        | 423/3593 [03:36<27:22,  1.93rollouts/s]
GEPA Optimization:  12%|#1        | 426/3593 [03:36<23:06,  2.28rollouts/s]
GEPA Optimization:  12%|#1        | 429/3593 [03:37<21:28,  2.46rollouts/s]
