
GEPA Optimization:   0%|          | 0/3593 [00:00<?, ?rollouts/s]
GEPA Optimization:   8%|8         | 300/3593 [22:26<4:06:24,  4.49s/rollouts]
GEPA Optimization:   9%|8         | 306/3593 [23:06<4:09:14,  4.55s/rollouts]
GEPA Optimization:   9%|8         | 312/3593 [23:57<4:16:51,  4.70s/rollouts]
GEPA Optimization:   9%|8         | 318/3593 [24:15<4:11:51,  4.61s/rollouts]
GEPA Optimization:   9%|9         | 324/3593 [24:32<4:04:17,  4.48s/rollouts]
GEPA Optimization:   9%|9         | 330/3593 [25:10<4:13:25,  4.66s/rollouts]
GEPA Optimization:   9%|9         | 336/3593 [25:47<4:21:59,  4.83s/rollouts]
GEPA Optimization:  10%|9         | 342/3593 [26:27<4:34:58,  5.08s/rollouts]
GEPA Optimization:  10%|9         | 348/3593 [27:00<4:38:05,  5.14s/rollouts]
GEPA Optimization:  10%|9         | 354/3593 [27:29<4:34:38,  5.09s/rollouts]
GEPA Optimization:  10%|#         | 360/3593 [27:43<4:02:46,  4.51s/rollouts]
GEPA Optimization:  10%|#         | 366/3593 [28:18<4:18:40,  4.81s/rollouts]
GEPA Optimization:  10%|#         | 372/3593 [28:55<4:37:22,  5.17s/rollouts]
GEPA Optimization:  11%|#         | 378/3593 [29:42<5:14:58,  5.88s/rollouts]
GEPA Optimization:  11%|#         | 384/3593 [30:03<4:38:11,  5.20s/rollouts]
GEPA Optimization:  11%|#         | 390/3593 [30:46<5:08:21,  5.78s/rollouts]
GEPA Optimization:  11%|#1        | 396/3593 [31:19<5:03:18,  5.69s/rollouts]
GEPA Optimization:  11%|#1        | 402/3593 [31:56<5:08:40,  5.80s/rollouts]
GEPA Optimization:  11%|#1        | 408/3593 [32:46<5:48:20,  6.56s/rollouts]
GEPA Optimization:  12%|#1        | 414/3593 [33:21<5:35:37,  6.33s/rollouts]
GEPA Optimization:  12%|#1        | 420/3593 [34:15<6:16:17,  7.12s/rollouts]
GEPA Optimization:  12%|#1        | 426/3593 [35:01<6:26:06,  7.31s/rollouts]
GEPA Optimization:  12%|#2        | 432/3593 [35:44<6:21:45,  7.25s/rollouts]
GEPA Optimization:  20%|##        | 735/3593 [1:11:03<5:33:41,  7.01s/rollouts]
GEPA Optimization:  21%|##        | 741/3593 [1:11:33<5:30:24,  6.95s/rollouts]
GEPA Optimization:  21%|##        | 747/3593 [1:12:02<5:26:10,  6.88s/rollouts]
GEPA Optimization:  21%|##        | 753/3593 [1:12:36<5:22:41,  6.82s/rollouts]
GEPA Optimization:  21%|##1       | 756/3593 [1:13:04<5:26:09,  6.90s/rollouts]
GEPA Optimization:  21%|##1       | 762/3593 [1:13:32<5:16:20,  6.70s/rollouts]
GEPA Optimization:  21%|##1       | 765/3593 [1:14:02<5:25:11,  6.90s/rollouts]
GEPA Optimization:  21%|##1       | 771/3593 [1:14:42<5:23:11,  6.87s/rollouts]
GEPA Optimization:  22%|##1       | 777/3593 [1:15:11<5:05:59,  6.52s/rollouts]
GEPA Optimization:  22%|##1       | 780/3593 [1:15:38<5:18:17,  6.79s/rollouts]
GEPA Optimization:  22%|##1       | 783/3593 [1:16:05<5:32:47,  7.11s/rollouts]
GEPA Optimization:  22%|##1       | 789/3593 [1:16:43<5:21:35,  6.88s/rollouts]
GEPA Optimization:  22%|##2       | 795/3593 [1:17:26<5:24:07,  6.95s/rollouts]
GEPA Optimization:  22%|##2       | 798/3593 [1:17:54<5:42:41,  7.36s/rollouts]
GEPA Optimization:  22%|##2       | 801/3593 [1:18:20<5:52:47,  7.58s/rollouts]
GEPA Optimization:  22%|##2       | 807/3593 [1:19:02<5:43:15,  7.39s/rollouts]
GEPA Optimization:  23%|##2       | 810/3593 [1:19:31<6:04:15,  7.85s/rollouts]
GEPA Optimization:  23%|##2       | 816/3593 [1:20:04<5:24:15,  7.01s/rollouts]
GEPA Optimization:  23%|##2       | 819/3593 [1:20:25<5:23:44,  7.00s/rollouts]
GEPA Optimization:  23%|##2       | 822/3593 [1:20:54<5:49:36,  7.57s/rollouts]
GEPA Optimization:  23%|##2       | 825/3593 [1:21:21<6:08:13,  7.98s/rollouts]
GEPA Optimization:  23%|##3       | 828/3593 [1:21:47<6:13:46,  8.11s/rollouts]
GEPA Optimization:  23%|##3       | 834/3593 [1:22:40<6:29:18,  8.47s/rollouts]
GEPA Optimization:  23%|##3       | 837/3593 [1:23:19<7:15:59,  9.49s/rollouts]
GEPA Optimization:  23%|##3       | 843/3593 [1:23:35<5:11:03,  6.79s/rollouts]
GEPA Optimization:  24%|##3       | 849/3593 [1:24:51<6:47:22,  8.91s/rollouts]
GEPA Optimization:  24%|##3       | 855/3593 [1:25:19<5:39:59,  7.45s/rollouts]
GEPA Optimization:  24%|##3       | 861/3593 [1:25:53<5:13:02,  6.88s/rollouts]
GEPA Optimization:  24%|##4       | 864/3593 [1:26:21<5:33:15,  7.33s/rollouts]
GEPA Optimization:  24%|##4       | 870/3593 [1:27:11<5:48:59,  7.69s/rollouts]
GEPA Optimization:  24%|##4       | 876/3593 [1:27:54<5:39:38,  7.50s/rollouts]
GEPA Optimization:  25%|##4       | 882/3593 [1:28:43<5:49:37,  7.74s/rollouts]
GEPA Optimization:  25%|##4       | 888/3593 [1:30:00<6:59:56,  9.31s/rollouts]
GEPA Optimization:  25%|##4       | 894/3593 [1:30:58<7:05:10,  9.45s/rollouts]
GEPA Optimization:  25%|##5       | 900/3593 [1:31:26<5:58:20,  7.98s/rollouts]
GEPA Optimization:  33%|###3      | 1203/3593 [1:57:55<3:33:34,  5.36s/rollouts]
GEPA Optimization:  34%|###3      | 1206/3593 [1:58:18<3:34:33,  5.39s/rollouts]
GEPA Optimization:  34%|###3      | 1209/3593 [1:58:48<3:37:37,  5.48s/rollouts]
GEPA Optimization:  42%|####2     | 1512/3593 [2:29:38<3:25:54,  5.94s/rollouts]
GEPA Optimization:  42%|####2     | 1515/3593 [2:29:56<3:25:37,  5.94s/rollouts]
GEPA Optimization:  42%|####2     | 1521/3593 [2:30:35<3:25:29,  5.95s/rollouts]
GEPA Optimization:  42%|####2     | 1524/3593 [2:30:47<3:24:01,  5.92s/rollouts]
GEPA Optimization:  43%|####2     | 1530/3593 [2:31:36<3:27:27,  6.03s/rollouts]
