
GEPA Optimization:   0%|          | 0/3593 [00:00<?, ?rollouts/s]
GEPA Optimization:   8%|8         | 300/3593 [21:42<3:58:11,  4.34s/rollouts]
GEPA Optimization:   9%|8         | 306/3593 [22:08<3:57:55,  4.34s/rollouts]
GEPA Optimization:   9%|8         | 312/3593 [22:32<3:56:35,  4.33s/rollouts]
GEPA Optimization:   9%|8         | 318/3593 [22:57<3:56:04,  4.32s/rollouts]
GEPA Optimization:   9%|9         | 324/3593 [23:19<3:52:38,  4.27s/rollouts]
GEPA Optimization:   9%|9         | 330/3593 [24:01<4:05:30,  4.51s/rollouts]
GEPA Optimization:   9%|9         | 336/3593 [25:00<4:37:47,  5.12s/rollouts]
GEPA Optimization:  10%|9         | 342/3593 [25:47<4:57:45,  5.50s/rollouts]
GEPA Optimization:  10%|9         | 348/3593 [26:47<5:38:52,  6.27s/rollouts]
GEPA Optimization:  10%|9         | 354/3593 [27:12<5:16:03,  5.85s/rollouts]
GEPA Optimization:  10%|#         | 360/3593 [27:58<5:35:17,  6.22s/rollouts]
GEPA Optimization:  10%|#         | 366/3593 [28:32<5:29:29,  6.13s/rollouts]
GEPA Optimization:  10%|#         | 372/3593 [29:16<5:43:28,  6.40s/rollouts]
GEPA Optimization:  11%|#         | 378/3593 [30:02<6:01:51,  6.75s/rollouts]
GEPA Optimization:  11%|#         | 384/3593 [30:57<6:36:18,  7.41s/rollouts]
GEPA Optimization:  19%|#9        | 687/3593 [56:06<4:06:48,  5.10s/rollouts]
GEPA Optimization:  19%|#9        | 693/3593 [56:25<4:03:50,  5.05s/rollouts]
GEPA Optimization:  28%|##7       | 996/3593 [1:13:42<2:52:28,  3.98s/rollouts]
GEPA Optimization:  28%|##7       | 1002/3593 [1:14:22<2:54:08,  4.03s/rollouts]
GEPA Optimization:  28%|##8       | 1008/3593 [1:14:56<2:55:29,  4.07s/rollouts]
GEPA Optimization:  28%|##8       | 1014/3593 [1:15:32<2:57:59,  4.14s/rollouts]
GEPA Optimization:  28%|##8       | 1020/3593 [1:16:07<3:00:59,  4.22s/rollouts]
GEPA Optimization:  29%|##8       | 1026/3593 [1:16:43<3:05:21,  4.33s/rollouts]
GEPA Optimization:  29%|##8       | 1032/3593 [1:17:39<3:23:03,  4.76s/rollouts]
GEPA Optimization:  29%|##8       | 1038/3593 [1:18:16<3:28:33,  4.90s/rollouts]
GEPA Optimization:  29%|##9       | 1044/3593 [1:18:58<3:39:57,  5.18s/rollouts]
GEPA Optimization:  29%|##9       | 1050/3593 [1:19:23<3:33:00,  5.03s/rollouts]
GEPA Optimization:  29%|##9       | 1056/3593 [1:19:51<3:29:30,  4.95s/rollouts]
GEPA Optimization:  30%|##9       | 1062/3593 [1:20:35<3:50:27,  5.46s/rollouts]
GEPA Optimization:  30%|##9       | 1068/3593 [1:20:57<3:31:41,  5.03s/rollouts]
GEPA Optimization:  30%|##9       | 1074/3593 [1:21:38<3:49:56,  5.48s/rollouts]
GEPA Optimization:  30%|###       | 1080/3593 [1:22:23<4:11:28,  6.00s/rollouts]
GEPA Optimization:  30%|###       | 1086/3593 [1:22:52<3:58:49,  5.72s/rollouts]
GEPA Optimization:  30%|###       | 1089/3593 [1:23:08<3:54:59,  5.63s/rollouts]
GEPA Optimization:  30%|###       | 1095/3593 [1:23:47<4:06:22,  5.92s/rollouts]
GEPA Optimization:  31%|###       | 1101/3593 [1:24:35<4:31:48,  6.54s/rollouts]
GEPA Optimization:  31%|###       | 1107/3593 [1:25:13<4:29:00,  6.49s/rollouts]
GEPA Optimization:  31%|###       | 1113/3593 [1:25:44<4:11:19,  6.08s/rollouts]
GEPA Optimization:  31%|###1      | 1119/3593 [1:26:23<4:16:09,  6.21s/rollouts]
GEPA Optimization:  31%|###1      | 1125/3593 [1:27:01<4:16:46,  6.24s/rollouts]
GEPA Optimization:  31%|###1      | 1131/3593 [1:27:29<3:56:16,  5.76s/rollouts]
GEPA Optimization:  32%|###1      | 1137/3593 [1:28:01<3:50:32,  5.63s/rollouts]
GEPA Optimization:  40%|####      | 1440/3593 [1:40:32<1:33:53,  2.62s/rollouts]
GEPA Optimization:  49%|####8     | 1743/3593 [2:08:29<2:12:39,  4.30s/rollouts]
GEPA Optimization:  49%|####8     | 1749/3593 [2:09:00<2:12:39,  4.32s/rollouts]
GEPA Optimization:  49%|####8     | 1755/3593 [2:09:50<2:14:58,  4.41s/rollouts]
GEPA Optimization:  49%|####9     | 1761/3593 [2:10:32<2:17:02,  4.49s/rollouts]
GEPA Optimization:  49%|####9     | 1767/3593 [2:10:52<2:15:05,  4.44s/rollouts]
GEPA Optimization:  49%|####9     | 1773/3593 [2:11:47<2:22:46,  4.71s/rollouts]
GEPA Optimization:  50%|####9     | 1779/3593 [2:12:22<2:25:00,  4.80s/rollouts]
GEPA Optimization:  50%|####9     | 1785/3593 [2:13:25<2:41:13,  5.35s/rollouts]
GEPA Optimization:  50%|####9     | 1788/3593 [2:13:45<2:42:57,  5.42s/rollouts]
GEPA Optimization:  50%|####9     | 1794/3593 [2:14:08<2:35:24,  5.18s/rollouts]
GEPA Optimization:  50%|#####     | 1800/3593 [2:14:34<2:30:10,  5.03s/rollouts]
GEPA Optimization:  50%|#####     | 1806/3593 [2:15:34<3:00:40,  6.07s/rollouts]
GEPA Optimization:  50%|#####     | 1812/3593 [2:16:19<3:09:36,  6.39s/rollouts]
GEPA Optimization:  51%|#####     | 1818/3593 [2:17:05<3:17:57,  6.69s/rollouts]
GEPA Optimization:  51%|#####     | 1824/3593 [2:17:47<3:19:22,  6.76s/rollouts]
GEPA Optimization:  51%|#####     | 1830/3593 [2:18:18<3:07:04,  6.37s/rollouts]
GEPA Optimization:  51%|#####1    | 1836/3593 [2:19:08<3:21:36,  6.88s/rollouts]
GEPA Optimization:  51%|#####1    | 1842/3593 [2:19:45<3:15:00,  6.68s/rollouts]
GEPA Optimization:  51%|#####1    | 1848/3593 [2:19:57<2:35:53,  5.36s/rollouts]
GEPA Optimization:  52%|#####1    | 1854/3593 [2:20:24<2:27:13,  5.08s/rollouts]
GEPA Optimization:  52%|#####1    | 1860/3593 [2:20:50<2:20:31,  4.87s/rollouts]
GEPA Optimization:  52%|#####1    | 1866/3593 [2:21:26<2:29:05,  5.18s/rollouts]
GEPA Optimization:  52%|#####2    | 1872/3593 [2:22:03<2:37:01,  5.47s/rollouts]
GEPA Optimization:  52%|#####2    | 1878/3593 [2:22:20<2:14:47,  4.72s/rollouts]
GEPA Optimization:  52%|#####2    | 1884/3593 [2:22:41<2:03:04,  4.32s/rollouts]
GEPA Optimization:  53%|#####2    | 1887/3593 [2:23:02<2:16:30,  4.80s/rollouts]
GEPA Optimization:  53%|#####2    | 1893/3593 [2:23:31<2:16:34,  4.82s/rollouts]
GEPA Optimization:  53%|#####2    | 1899/3593 [2:24:02<2:19:15,  4.93s/rollouts]
GEPA Optimization:  53%|#####2    | 1902/3593 [2:24:19<2:22:34,  5.06s/rollouts]
GEPA Optimization:  53%|#####3    | 1908/3593 [2:25:01<2:41:45,  5.76s/rollouts]
GEPA Optimization:  53%|#####3    | 1914/3593 [2:25:29<2:31:37,  5.42s/rollouts]
GEPA Optimization:  53%|#####3    | 1920/3593 [2:26:04<2:34:02,  5.52s/rollouts]
GEPA Optimization:  54%|#####3    | 1926/3593 [2:26:57<3:02:37,  6.57s/rollouts]
GEPA Optimization:  54%|#####3    | 1932/3593 [2:28:06<3:44:19,  8.10s/rollouts]
GEPA Optimization:  54%|#####3    | 1938/3593 [2:29:00<3:50:46,  8.37s/rollouts]
GEPA Optimization:  54%|#####4    | 1944/3593 [2:29:48<3:46:24,  8.24s/rollouts]
GEPA Optimization:  54%|#####4    | 1950/3593 [2:30:08<3:04:51,  6.75s/rollouts]
GEPA Optimization:  54%|#####4    | 1956/3593 [2:30:52<3:09:48,  6.96s/rollouts]
GEPA Optimization:  55%|#####4    | 1962/3593 [2:31:40<3:17:12,  7.26s/rollouts]
GEPA Optimization:  55%|#####4    | 1965/3593 [2:31:59<3:13:09,  7.12s/rollouts]
GEPA Optimization:  55%|#####4    | 1971/3593 [2:32:33<2:58:20,  6.60s/rollouts]
GEPA Optimization:  55%|#####5    | 1977/3593 [2:32:58<2:37:34,  5.85s/rollouts]
GEPA Optimization:  55%|#####5    | 1983/3593 [2:33:37<2:42:22,  6.05s/rollouts]
GEPA Optimization:  55%|#####5    | 1989/3593 [2:34:46<3:26:23,  7.72s/rollouts]
GEPA Optimization:  56%|#####5    | 1995/3593 [2:35:02<2:44:18,  6.17s/rollouts]
GEPA Optimization:  56%|#####5    | 2001/3593 [2:35:46<2:52:57,  6.52s/rollouts]
GEPA Optimization:  63%|######3   | 2274/3593 [2:51:25<1:18:54,  3.59s/rollouts]
GEPA Optimization:  63%|######3   | 2280/3593 [2:51:56<1:19:33,  3.64s/rollouts]
GEPA Optimization:  64%|######3   | 2283/3593 [2:52:13<1:20:15,  3.68s/rollouts]
GEPA Optimization:  64%|######3   | 2289/3593 [2:52:50<1:22:46,  3.81s/rollouts]
GEPA Optimization:  64%|######3   | 2295/3593 [2:53:35<1:28:20,  4.08s/rollouts]
GEPA Optimization:  64%|######3   | 2298/3593 [2:54:06<1:34:37,  4.38s/rollouts]
GEPA Optimization:  64%|######4   | 2301/3593 [2:54:35<1:42:00,  4.74s/rollouts]
GEPA Optimization:  64%|######4   | 2307/3593 [2:54:57<1:37:56,  4.57s/rollouts]
GEPA Optimization:  64%|######4   | 2310/3593 [2:55:19<1:43:33,  4.84s/rollouts]
GEPA Optimization:  64%|######4   | 2316/3593 [2:56:31<2:17:14,  6.45s/rollouts]
GEPA Optimization:  65%|######4   | 2322/3593 [2:56:51<2:00:34,  5.69s/rollouts]
GEPA Optimization:  65%|######4   | 2325/3593 [2:57:11<2:03:27,  5.84s/rollouts]
GEPA Optimization:  65%|######4   | 2331/3593 [2:57:52<2:08:36,  6.11s/rollouts]
GEPA Optimization:  65%|######4   | 2334/3593 [2:58:21<2:22:14,  6.78s/rollouts]
GEPA Optimization:  65%|######5   | 2340/3593 [2:58:47<2:03:56,  5.94s/rollouts]
GEPA Optimization:  65%|######5   | 2346/3593 [2:59:31<2:13:15,  6.41s/rollouts]
GEPA Optimization:  65%|######5   | 2352/3593 [3:00:02<2:04:09,  6.00s/rollouts]
GEPA Optimization:  66%|######5   | 2355/3593 [3:00:26<2:11:47,  6.39s/rollouts]
GEPA Optimization:  66%|######5   | 2361/3593 [3:01:11<2:18:27,  6.74s/rollouts]
GEPA Optimization:  66%|######5   | 2367/3593 [3:01:45<2:10:38,  6.39s/rollouts]
GEPA Optimization:  66%|######6   | 2373/3593 [3:02:27<2:14:25,  6.61s/rollouts]
GEPA Optimization:  66%|######6   | 2376/3593 [3:02:47<2:14:08,  6.61s/rollouts]
GEPA Optimization:  75%|#######4  | 2679/3593 [3:34:28<1:35:45,  6.29s/rollouts]
GEPA Optimization:  75%|#######4  | 2685/3593 [3:35:08<1:35:14,  6.29s/rollouts]
GEPA Optimization:  75%|#######4  | 2688/3593 [3:35:24<1:34:40,  6.28s/rollouts]
GEPA Optimization:  75%|#######4  | 2694/3593 [3:36:25<1:37:02,  6.48s/rollouts]
GEPA Optimization:  75%|#######5  | 2700/3593 [3:37:06<1:36:41,  6.50s/rollouts]
GEPA Optimization:  75%|#######5  | 2703/3593 [3:38:00<1:44:17,  7.03s/rollouts]
GEPA Optimization:  75%|#######5  | 2709/3593 [3:38:40<1:42:56,  6.99s/rollouts]
GEPA Optimization:  75%|#######5  | 2712/3593 [3:39:04<1:43:48,  7.07s/rollouts]
GEPA Optimization:  76%|#######5  | 2718/3593 [3:39:55<1:46:32,  7.31s/rollouts]
GEPA Optimization:  76%|#######5  | 2724/3593 [3:40:41<1:47:14,  7.40s/rollouts]
GEPA Optimization:  76%|#######5  | 2730/3593 [3:41:18<1:42:16,  7.11s/rollouts]
GEPA Optimization:  76%|#######6  | 2733/3593 [3:41:50<1:49:09,  7.62s/rollouts]
GEPA Optimization:  76%|#######6  | 2736/3593 [3:42:16<1:50:38,  7.75s/rollouts]
GEPA Optimization:  76%|#######6  | 2739/3593 [3:42:47<1:57:31,  8.26s/rollouts]
GEPA Optimization:  76%|#######6  | 2745/3593 [3:43:45<2:03:42,  8.75s/rollouts]
GEPA Optimization:  77%|#######6  | 2751/3593 [3:44:16<1:46:01,  7.56s/rollouts]
GEPA Optimization:  77%|#######6  | 2757/3593 [3:45:22<2:00:41,  8.66s/rollouts]
GEPA Optimization:  77%|#######6  | 2760/3593 [3:45:45<1:58:17,  8.52s/rollouts]
GEPA Optimization:  77%|#######6  | 2766/3593 [3:46:25<1:48:23,  7.86s/rollouts]
GEPA Optimization:  77%|#######7  | 2769/3593 [3:46:54<1:52:19,  8.18s/rollouts]
GEPA Optimization:  77%|#######7  | 2775/3593 [3:47:26<1:37:54,  7.18s/rollouts]
GEPA Optimization:  77%|#######7  | 2781/3593 [3:48:05<1:33:48,  6.93s/rollouts]
GEPA Optimization:  78%|#######7  | 2787/3593 [3:48:49<1:35:14,  7.09s/rollouts]
GEPA Optimization:  78%|#######7  | 2790/3593 [3:49:09<1:33:31,  6.99s/rollouts]
GEPA Optimization:  78%|#######7  | 2796/3593 [3:50:00<1:39:40,  7.50s/rollouts]
GEPA Optimization:  78%|#######7  | 2799/3593 [3:50:18<1:35:25,  7.21s/rollouts]
GEPA Optimization:  78%|#######8  | 2805/3593 [3:51:02<1:35:44,  7.29s/rollouts]
GEPA Optimization:  78%|#######8  | 2811/3593 [3:51:50<1:38:08,  7.53s/rollouts]
GEPA Optimization:  78%|#######8  | 2816/3593 [3:52:14<1:26:51,  6.71s/rollouts]
GEPA Optimization:  78%|#######8  | 2819/3593 [3:52:38<1:30:03,  6.98s/rollouts]
GEPA Optimization:  79%|#######8  | 2825/3593 [3:53:06<1:18:41,  6.15s/rollouts]
GEPA Optimization:  79%|#######8  | 2831/3593 [3:53:39<1:15:00,  5.91s/rollouts]
GEPA Optimization:  79%|#######8  | 2834/3593 [3:54:02<1:18:57,  6.24s/rollouts]
GEPA Optimization:  79%|#######9  | 2840/3593 [3:54:49<1:25:41,  6.83s/rollouts]
GEPA Optimization:  87%|########7 | 3143/3593 [4:23:17<42:36,  5.68s/rollouts]  
GEPA Optimization:  88%|########7 | 3149/3593 [4:24:11<42:41,  5.77s/rollouts]
GEPA Optimization:  88%|########7 | 3154/3593 [4:24:30<41:47,  5.71s/rollouts]
GEPA Optimization:  88%|########7 | 3157/3593 [4:25:06<42:39,  5.87s/rollouts]
GEPA Optimization:  88%|########8 | 3163/3593 [4:26:02<43:46,  6.11s/rollouts]
GEPA Optimization:  88%|########8 | 3169/3593 [4:26:19<41:03,  5.81s/rollouts]
GEPA Optimization:  88%|########8 | 3172/3593 [4:26:46<42:07,  6.00s/rollouts]
GEPA Optimization:  88%|########8 | 3175/3593 [4:27:34<47:16,  6.79s/rollouts]
GEPA Optimization:  89%|########8 | 3181/3593 [4:28:19<47:32,  6.92s/rollouts]
GEPA Optimization:  89%|########8 | 3184/3593 [4:29:12<55:31,  8.14s/rollouts]
GEPA Optimization:  89%|########8 | 3187/3593 [4:29:42<56:53,  8.41s/rollouts]
GEPA Optimization:  89%|########8 | 3193/3593 [4:30:51<1:02:09,  9.32s/rollouts]
GEPA Optimization:  89%|########9 | 3199/3593 [4:31:36<57:33,  8.77s/rollouts]  
GEPA Optimization:  89%|########9 | 3205/3593 [4:32:12<51:39,  7.99s/rollouts]
GEPA Optimization:  89%|########9 | 3208/3593 [4:32:39<52:21,  8.16s/rollouts]
GEPA Optimization:  89%|########9 | 3214/3593 [4:32:57<40:44,  6.45s/rollouts]
GEPA Optimization:  90%|########9 | 3217/3593 [4:33:24<43:16,  6.91s/rollouts]
GEPA Optimization:  90%|########9 | 3222/3593 [4:33:50<39:29,  6.39s/rollouts]
GEPA Optimization:  90%|########9 | 3225/3593 [4:34:16<42:15,  6.89s/rollouts]
GEPA Optimization:  90%|########9 | 3231/3593 [4:34:45<36:37,  6.07s/rollouts]
GEPA Optimization:  90%|######### | 3237/3593 [4:35:13<33:23,  5.63s/rollouts]
GEPA Optimization:  90%|######### | 3240/3593 [4:35:31<33:27,  5.69s/rollouts]
GEPA Optimization:  90%|######### | 3246/3593 [4:36:21<38:24,  6.64s/rollouts]
GEPA Optimization:  91%|######### | 3252/3593 [4:36:42<31:35,  5.56s/rollouts]
GEPA Optimization:  91%|######### | 3258/3593 [4:36:54<24:39,  4.42s/rollouts]
GEPA Optimization:  91%|######### | 3261/3593 [4:37:27<31:05,  5.62s/rollouts]
GEPA Optimization:  91%|######### | 3267/3593 [4:37:52<27:45,  5.11s/rollouts]
GEPA Optimization:  91%|#########1| 3273/3593 [4:38:10<23:41,  4.44s/rollouts]
GEPA Optimization:  91%|#########1| 3279/3593 [4:38:35<22:34,  4.31s/rollouts]
GEPA Optimization:  91%|#########1| 3285/3593 [4:39:01<22:24,  4.36s/rollouts]
GEPA Optimization: 100%|#########9| 3588/3593 [5:08:42<00:29,  5.81s/rollouts]
GEPA Optimization: 100%|#########9| 3588/3593 [5:09:20<00:25,  5.17s/rollouts]
