
GEPA Optimization:   0%|          | 0/1839 [00:00<?, ?rollouts/s]
GEPA Optimization:   8%|7         | 147/1839 [17:16<3:18:51,  7.05s/rollouts]
GEPA Optimization:   8%|8         | 153/1839 [18:16<3:22:38,  7.21s/rollouts]
GEPA Optimization:   9%|8         | 159/1839 [19:13<3:26:33,  7.38s/rollouts]
GEPA Optimization:   9%|8         | 165/1839 [20:02<3:27:59,  7.45s/rollouts]
GEPA Optimization:   9%|9         | 171/1839 [20:44<3:25:49,  7.40s/rollouts]
GEPA Optimization:  10%|9         | 177/1839 [21:21<3:20:08,  7.23s/rollouts]
GEPA Optimization:  10%|9         | 183/1839 [22:18<3:30:21,  7.62s/rollouts]
GEPA Optimization:  10%|#         | 189/1839 [23:06<3:31:20,  7.69s/rollouts]
GEPA Optimization:  11%|#         | 195/1839 [24:04<3:42:12,  8.11s/rollouts]
GEPA Optimization:  11%|#         | 201/1839 [24:55<3:44:14,  8.21s/rollouts]
GEPA Optimization:  11%|#1        | 207/1839 [25:42<3:41:23,  8.14s/rollouts]
GEPA Optimization:  12%|#1        | 213/1839 [26:30<3:38:57,  8.08s/rollouts]
GEPA Optimization:  12%|#1        | 219/1839 [27:23<3:44:09,  8.30s/rollouts]
GEPA Optimization:  12%|#2        | 225/1839 [28:16<3:46:39,  8.43s/rollouts]
GEPA Optimization:  20%|##        | 375/1839 [46:51<3:03:35,  7.52s/rollouts]
GEPA Optimization:  21%|##        | 381/1839 [47:44<3:04:26,  7.59s/rollouts]
GEPA Optimization:  21%|##1       | 387/1839 [48:30<3:03:47,  7.59s/rollouts]
GEPA Optimization:  21%|##1       | 393/1839 [49:23<3:05:43,  7.71s/rollouts]
GEPA Optimization:  30%|##9       | 543/1839 [1:07:18<2:37:35,  7.30s/rollouts]
GEPA Optimization:  30%|##9       | 549/1839 [1:08:11<2:38:19,  7.36s/rollouts]
GEPA Optimization:  30%|###       | 555/1839 [1:09:01<2:38:38,  7.41s/rollouts]
GEPA Optimization:  31%|###       | 561/1839 [1:10:15<2:45:45,  7.78s/rollouts]
GEPA Optimization:  31%|###       | 567/1839 [1:11:30<2:54:27,  8.23s/rollouts]
GEPA Optimization:  31%|###1      | 573/1839 [1:12:24<2:55:23,  8.31s/rollouts]
GEPA Optimization:  31%|###1      | 579/1839 [1:13:18<2:56:33,  8.41s/rollouts]
GEPA Optimization:  32%|###1      | 585/1839 [1:14:00<2:51:00,  8.18s/rollouts]
GEPA Optimization:  32%|###2      | 591/1839 [1:14:51<2:51:33,  8.25s/rollouts]
GEPA Optimization:  32%|###2      | 597/1839 [1:15:40<2:49:51,  8.21s/rollouts]
GEPA Optimization:  33%|###2      | 603/1839 [1:16:33<2:52:20,  8.37s/rollouts]
GEPA Optimization:  33%|###2      | 606/1839 [1:17:26<3:19:54,  9.73s/rollouts]
GEPA Optimization:  33%|###3      | 612/1839 [1:18:37<3:31:32, 10.34s/rollouts]
GEPA Optimization:  34%|###3      | 618/1839 [1:19:28<3:20:03,  9.83s/rollouts]
GEPA Optimization:  34%|###3      | 624/1839 [1:20:20<3:11:52,  9.48s/rollouts]
GEPA Optimization:  34%|###4      | 627/1839 [1:21:13<3:39:58, 10.89s/rollouts]
GEPA Optimization:  34%|###4      | 633/1839 [1:22:06<3:25:43, 10.23s/rollouts]
GEPA Optimization:  35%|###4      | 639/1839 [1:23:21<3:38:51, 10.94s/rollouts]
GEPA Optimization:  35%|###5      | 645/1839 [1:24:04<3:13:50,  9.74s/rollouts]
GEPA Optimization:  43%|####3     | 795/1839 [1:42:06<2:09:04,  7.42s/rollouts]
GEPA Optimization:  44%|####3     | 801/1839 [1:42:46<2:07:41,  7.38s/rollouts]
GEPA Optimization:  44%|####3     | 807/1839 [1:43:35<2:07:59,  7.44s/rollouts]
GEPA Optimization:  44%|####4     | 813/1839 [1:44:21<2:07:32,  7.46s/rollouts]
GEPA Optimization:  45%|####4     | 819/1839 [1:45:09<2:07:34,  7.50s/rollouts]
GEPA Optimization:  45%|####4     | 825/1839 [1:46:13<2:14:14,  7.94s/rollouts]
GEPA Optimization:  45%|####5     | 831/1839 [1:47:18<2:21:23,  8.42s/rollouts]
GEPA Optimization:  46%|####5     | 837/1839 [1:48:10<2:21:06,  8.45s/rollouts]
GEPA Optimization:  46%|####5     | 843/1839 [1:49:03<2:21:52,  8.55s/rollouts]
GEPA Optimization:  46%|####6     | 849/1839 [1:49:42<2:12:57,  8.06s/rollouts]
GEPA Optimization:  46%|####6     | 855/1839 [1:50:49<2:24:48,  8.83s/rollouts]
GEPA Optimization:  47%|####6     | 861/1839 [1:51:40<2:22:52,  8.77s/rollouts]
GEPA Optimization:  55%|#####4    | 1008/1839 [2:09:13<1:41:22,  7.32s/rollouts]
GEPA Optimization:  55%|#####4    | 1011/1839 [2:09:35<1:41:03,  7.32s/rollouts]
GEPA Optimization:  55%|#####5    | 1017/1839 [2:10:42<1:43:52,  7.58s/rollouts]
GEPA Optimization:  56%|#####5    | 1023/1839 [2:11:35<1:44:37,  7.69s/rollouts]
GEPA Optimization:  56%|#####5    | 1029/1839 [2:12:31<1:46:17,  7.87s/rollouts]
GEPA Optimization:  56%|#####6    | 1035/1839 [2:13:27<1:48:16,  8.08s/rollouts]
GEPA Optimization:  57%|#####6    | 1041/1839 [2:14:34<1:54:13,  8.59s/rollouts]
GEPA Optimization:  57%|#####6    | 1047/1839 [2:15:25<1:53:18,  8.58s/rollouts]
GEPA Optimization:  65%|######5   | 1197/1839 [2:33:00<1:17:20,  7.23s/rollouts]
GEPA Optimization:  65%|######5   | 1203/1839 [2:33:52<1:17:23,  7.30s/rollouts]
GEPA Optimization:  66%|######5   | 1209/1839 [2:34:44<1:17:35,  7.39s/rollouts]
GEPA Optimization:  66%|######6   | 1215/1839 [2:35:39<1:18:16,  7.53s/rollouts]
GEPA Optimization:  66%|######6   | 1221/1839 [2:36:54<1:23:01,  8.06s/rollouts]
GEPA Optimization:  67%|######6   | 1227/1839 [2:37:47<1:23:17,  8.17s/rollouts]
GEPA Optimization:  67%|######7   | 1233/1839 [2:39:02<1:29:26,  8.85s/rollouts]
GEPA Optimization:  67%|######7   | 1239/1839 [2:40:14<1:34:20,  9.43s/rollouts]
GEPA Optimization:  68%|######7   | 1245/1839 [2:41:29<1:39:41, 10.07s/rollouts]
GEPA Optimization:  68%|######8   | 1251/1839 [2:42:42<1:43:15, 10.54s/rollouts]
GEPA Optimization:  68%|######8   | 1254/1839 [2:43:13<1:42:23, 10.50s/rollouts]
GEPA Optimization:  68%|######8   | 1257/1839 [2:43:26<1:31:52,  9.47s/rollouts]
GEPA Optimization:  69%|######8   | 1263/1839 [2:44:16<1:27:44,  9.14s/rollouts]
GEPA Optimization:  69%|######9   | 1269/1839 [2:44:46<1:14:20,  7.82s/rollouts]
GEPA Optimization:  69%|######9   | 1275/1839 [2:45:30<1:12:12,  7.68s/rollouts]
GEPA Optimization:  70%|######9   | 1281/1839 [2:46:26<1:15:58,  8.17s/rollouts]
GEPA Optimization:  70%|######9   | 1284/1839 [2:46:43<1:11:29,  7.73s/rollouts]
GEPA Optimization:  70%|#######   | 1290/1839 [2:47:51<1:21:56,  8.96s/rollouts]
GEPA Optimization:  70%|#######   | 1296/1839 [2:48:42<1:19:44,  8.81s/rollouts]
GEPA Optimization:  71%|#######   | 1302/1839 [2:49:37<1:19:44,  8.91s/rollouts]
GEPA Optimization:  71%|#######1  | 1308/1839 [2:50:39<1:22:37,  9.34s/rollouts]
GEPA Optimization:  71%|#######1  | 1314/1839 [2:51:26<1:17:48,  8.89s/rollouts]
GEPA Optimization:  72%|#######1  | 1320/1839 [2:52:06<1:11:01,  8.21s/rollouts]
GEPA Optimization:  80%|#######9  | 1470/1839 [3:09:59<44:32,  7.24s/rollouts]  
GEPA Optimization:  80%|########  | 1476/1839 [3:10:41<43:43,  7.23s/rollouts]
GEPA Optimization:  81%|########  | 1482/1839 [3:12:00<45:21,  7.62s/rollouts]
GEPA Optimization:  81%|########  | 1488/1839 [3:12:55<45:20,  7.75s/rollouts]
GEPA Optimization:  81%|########1 | 1494/1839 [3:13:40<44:28,  7.74s/rollouts]
GEPA Optimization:  81%|########1 | 1497/1839 [3:14:35<48:29,  8.51s/rollouts]
GEPA Optimization:  90%|########9 | 1647/1839 [3:32:13<23:19,  7.29s/rollouts]
GEPA Optimization:  90%|########9 | 1653/1839 [3:33:08<22:51,  7.37s/rollouts]
GEPA Optimization:  90%|######### | 1656/1839 [3:33:38<22:44,  7.46s/rollouts]
GEPA Optimization:  90%|######### | 1662/1839 [3:34:57<23:23,  7.93s/rollouts]
GEPA Optimization:  91%|######### | 1668/1839 [3:36:15<24:08,  8.47s/rollouts]
GEPA Optimization:  91%|#########1| 1674/1839 [3:37:06<23:17,  8.47s/rollouts]
GEPA Optimization:  91%|#########1| 1677/1839 [3:38:01<25:08,  9.31s/rollouts]
GEPA Optimization:  91%|#########1| 1680/1839 [3:38:55<27:12, 10.27s/rollouts]
GEPA Optimization: 100%|#########9| 1830/1839 [3:56:50<01:07,  7.52s/rollouts]
GEPA Optimization: 100%|#########9| 1835/1839 [3:57:36<00:30,  7.59s/rollouts]
GEPA Optimization: 100%|#########9| 1835/1839 [4:15:53<00:33,  8.37s/rollouts]
