
GEPA Optimization:   0%|          | 0/3936 [00:00<?, ?rollouts/s]
GEPA Optimization:   2%|2         | 95/3936 [04:45<3:12:16,  3.00s/rollouts]
GEPA Optimization:   3%|2         | 101/3936 [05:02<3:10:51,  2.99s/rollouts]
GEPA Optimization:   5%|5         | 199/3936 [10:56<3:31:56,  3.40s/rollouts]
GEPA Optimization:   5%|5         | 205/3936 [11:25<3:36:11,  3.48s/rollouts]
GEPA Optimization:   8%|7         | 303/3936 [16:28<3:17:29,  3.26s/rollouts]
GEPA Optimization:   8%|7         | 309/3936 [16:49<3:17:56,  3.27s/rollouts]
GEPA Optimization:  10%|#         | 407/3936 [22:06<3:11:24,  3.25s/rollouts]
GEPA Optimization:  10%|#         | 413/3936 [22:44<3:19:00,  3.39s/rollouts]
GEPA Optimization:  11%|#         | 419/3936 [23:08<3:20:52,  3.43s/rollouts]
GEPA Optimization:  11%|#         | 425/3936 [23:46<3:32:59,  3.64s/rollouts]
GEPA Optimization:  13%|#3        | 523/3936 [28:26<2:58:34,  3.14s/rollouts]
GEPA Optimization:  13%|#3        | 529/3936 [28:53<3:02:24,  3.21s/rollouts]
GEPA Optimization:  14%|#3        | 535/3936 [29:08<2:59:26,  3.17s/rollouts]
GEPA Optimization:  16%|#6        | 633/3936 [34:26<2:56:43,  3.21s/rollouts]
GEPA Optimization:  16%|#6        | 639/3936 [34:56<3:01:26,  3.30s/rollouts]
GEPA Optimization:  16%|#6        | 645/3936 [35:05<2:54:45,  3.19s/rollouts]
GEPA Optimization:  19%|#8        | 741/3936 [40:36<2:58:04,  3.34s/rollouts]
GEPA Optimization:  21%|##1       | 839/3936 [46:04<2:52:45,  3.35s/rollouts]
GEPA Optimization:  21%|##1       | 845/3936 [46:23<2:51:53,  3.34s/rollouts]
GEPA Optimization:  24%|##3       | 943/3936 [52:03<2:49:37,  3.40s/rollouts]
GEPA Optimization:  24%|##4       | 949/3936 [52:29<2:51:12,  3.44s/rollouts]
GEPA Optimization:  27%|##6       | 1047/3936 [57:34<2:37:56,  3.28s/rollouts]
GEPA Optimization:  27%|##6       | 1050/3936 [58:02<2:43:44,  3.40s/rollouts]
GEPA Optimization:  29%|##9       | 1148/3936 [1:03:08<2:31:52,  3.27s/rollouts]
GEPA Optimization:  29%|##9       | 1154/3936 [1:03:24<2:30:16,  3.24s/rollouts]
GEPA Optimization:  29%|##9       | 1160/3936 [1:03:40<2:28:30,  3.21s/rollouts]
GEPA Optimization:  32%|###1      | 1258/3936 [1:09:50<2:37:39,  3.53s/rollouts]
GEPA Optimization:  34%|###4      | 1356/3936 [1:14:54<2:23:38,  3.34s/rollouts]
GEPA Optimization:  35%|###4      | 1362/3936 [1:15:19<2:24:26,  3.37s/rollouts]
GEPA Optimization:  35%|###4      | 1368/3936 [1:15:33<2:21:55,  3.32s/rollouts]
GEPA Optimization:  35%|###4      | 1371/3936 [1:15:39<2:19:40,  3.27s/rollouts]
GEPA Optimization:  35%|###4      | 1374/3936 [1:15:54<2:23:16,  3.36s/rollouts]
GEPA Optimization:  35%|###5      | 1380/3936 [1:16:40<2:44:52,  3.87s/rollouts]
GEPA Optimization:  35%|###5      | 1383/3936 [1:17:00<2:53:41,  4.08s/rollouts]
GEPA Optimization:  38%|###7      | 1481/3936 [1:22:51<2:31:13,  3.70s/rollouts]
GEPA Optimization:  38%|###7      | 1487/3936 [1:23:35<2:40:22,  3.93s/rollouts]
GEPA Optimization:  38%|###7      | 1493/3936 [1:24:02<2:41:32,  3.97s/rollouts]
GEPA Optimization:  40%|####      | 1591/3936 [1:28:47<2:07:49,  3.27s/rollouts]
GEPA Optimization:  43%|####2     | 1689/3936 [1:34:29<2:06:26,  3.38s/rollouts]
GEPA Optimization:  43%|####2     | 1692/3936 [1:34:44<2:07:29,  3.41s/rollouts]
GEPA Optimization:  43%|####3     | 1697/3936 [1:35:12<2:10:53,  3.51s/rollouts]
GEPA Optimization:  46%|####5     | 1795/3936 [1:40:48<2:03:36,  3.46s/rollouts]
GEPA Optimization:  46%|####5     | 1801/3936 [1:41:16<2:05:14,  3.52s/rollouts]
GEPA Optimization:  48%|####8     | 1899/3936 [1:47:06<2:00:26,  3.55s/rollouts]
GEPA Optimization:  48%|####8     | 1905/3936 [1:47:28<2:00:17,  3.55s/rollouts]
GEPA Optimization:  51%|#####     | 2003/3936 [1:54:00<2:01:49,  3.78s/rollouts]
GEPA Optimization:  51%|#####1    | 2009/3936 [1:54:39<2:05:11,  3.90s/rollouts]
GEPA Optimization:  54%|#####3    | 2107/3936 [2:00:53<1:57:33,  3.86s/rollouts]
GEPA Optimization:  56%|#####6    | 2206/3936 [2:07:08<1:50:19,  3.83s/rollouts]
GEPA Optimization:  56%|#####6    | 2212/3936 [2:07:35<1:50:40,  3.85s/rollouts]
GEPA Optimization:  56%|#####6    | 2218/3936 [2:08:03<1:51:18,  3.89s/rollouts]
GEPA Optimization:  56%|#####6    | 2221/3936 [2:08:14<1:50:55,  3.88s/rollouts]
GEPA Optimization:  59%|#####8    | 2319/3936 [2:14:19<1:42:05,  3.79s/rollouts]
GEPA Optimization:  59%|#####9    | 2325/3936 [2:14:42<1:41:37,  3.78s/rollouts]
GEPA Optimization:  59%|#####9    | 2328/3936 [2:15:02<1:44:15,  3.89s/rollouts]
GEPA Optimization:  59%|#####9    | 2334/3936 [2:15:43<1:50:58,  4.16s/rollouts]
GEPA Optimization:  59%|#####9    | 2337/3936 [2:15:59<1:52:23,  4.22s/rollouts]
GEPA Optimization:  60%|#####9    | 2343/3936 [2:16:37<2:00:20,  4.53s/rollouts]
GEPA Optimization:  60%|#####9    | 2346/3936 [2:16:53<2:02:29,  4.62s/rollouts]
GEPA Optimization:  60%|#####9    | 2349/3936 [2:17:18<2:14:15,  5.08s/rollouts]
GEPA Optimization:  60%|#####9    | 2355/3936 [2:17:46<2:11:05,  4.97s/rollouts]
GEPA Optimization:  60%|#####9    | 2358/3936 [2:18:11<2:23:53,  5.47s/rollouts]
GEPA Optimization:  60%|#####9    | 2361/3936 [2:18:32<2:31:03,  5.75s/rollouts]
GEPA Optimization:  60%|######    | 2367/3936 [2:19:17<2:46:11,  6.36s/rollouts]
GEPA Optimization:  60%|######    | 2373/3936 [2:19:33<2:14:10,  5.15s/rollouts]
GEPA Optimization:  60%|######    | 2379/3936 [2:20:03<2:12:17,  5.10s/rollouts]
GEPA Optimization:  61%|######    | 2382/3936 [2:20:23<2:18:52,  5.36s/rollouts]
GEPA Optimization:  61%|######    | 2388/3936 [2:21:10<2:40:03,  6.20s/rollouts]
GEPA Optimization:  61%|######    | 2394/3936 [2:21:28<2:13:15,  5.19s/rollouts]
GEPA Optimization:  61%|######    | 2400/3936 [2:22:17<2:36:27,  6.11s/rollouts]
GEPA Optimization:  61%|######1   | 2403/3936 [2:22:41<2:44:55,  6.46s/rollouts]
GEPA Optimization:  64%|######3   | 2501/3936 [2:30:11<1:54:31,  4.79s/rollouts]
GEPA Optimization:  64%|######3   | 2507/3936 [2:30:57<1:59:07,  5.00s/rollouts]
GEPA Optimization:  66%|######6   | 2605/3936 [2:37:57<1:40:53,  4.55s/rollouts]
GEPA Optimization:  66%|######6   | 2611/3936 [2:38:38<1:43:04,  4.67s/rollouts]
GEPA Optimization:  69%|######8   | 2709/3936 [2:46:11<1:34:58,  4.64s/rollouts]
GEPA Optimization:  71%|#######1  | 2807/3936 [2:53:05<1:23:51,  4.46s/rollouts]
GEPA Optimization:  71%|#######1  | 2810/3936 [2:53:19<1:23:46,  4.46s/rollouts]
GEPA Optimization:  72%|#######1  | 2816/3936 [2:53:52<1:24:21,  4.52s/rollouts]
GEPA Optimization:  74%|#######4  | 2914/3936 [2:59:17<1:05:47,  3.86s/rollouts]
