[19:21:26] Starting rescue watcher...
[19:21:46] ✓ Saved qwen3-14b seed=789
[19:21:46] ✓ Saved qwen3-14b seed=42
[19:21:46] ✓ Saved qwen3-14b seed=456
[19:21:46] Waiting: 27B=1 8B=1 14B=1 remaining
[19:22:06] Waiting: 27B=1 8B=1 14B=1 remaining
[19:22:26] Waiting: 27B=1 8B=1 14B=1 remaining
[19:22:46] Waiting: 27B=1 8B=1 14B=1 remaining
[19:23:06] Waiting: 27B=1 8B=1 14B=1 remaining
[19:23:26] Waiting: 27B=1 8B=1 14B=1 remaining
[19:23:46] Waiting: 27B=1 8B=1 14B=1 remaining
[19:24:06] Waiting: 27B=1 8B=1 14B=1 remaining
[19:24:26] Waiting: 27B=1 8B=1 14B=1 remaining
[19:24:46] Waiting: 27B=1 8B=1 14B=1 remaining
[19:25:06] Waiting: 27B=1 8B=1 14B=1 remaining
[19:25:26] ✓ Saved qwen3-27b-awq seed=1024
[19:25:26] Waiting: 27B=0 8B=1 14B=1 remaining
[19:25:46] Waiting: 27B=0 8B=1 14B=1 remaining
[19:26:06] Waiting: 27B=0 8B=1 14B=1 remaining
[19:26:26] Waiting: 27B=0 8B=1 14B=1 remaining
[19:26:46] Waiting: 27B=0 8B=1 14B=1 remaining
[19:27:06] Waiting: 27B=0 8B=1 14B=1 remaining
[19:27:26] Waiting: 27B=0 8B=1 14B=1 remaining
[19:27:46] Waiting: 27B=0 8B=1 14B=1 remaining
[19:28:06] Waiting: 27B=0 8B=1 14B=1 remaining
[19:28:26] Waiting: 27B=0 8B=1 14B=1 remaining
[19:28:46] Waiting: 27B=0 8B=1 14B=1 remaining
[19:29:06] Waiting: 27B=0 8B=1 14B=1 remaining
[19:29:26] Waiting: 27B=0 8B=1 14B=1 remaining
[19:29:46] Waiting: 27B=0 8B=1 14B=1 remaining
[19:30:06] Waiting: 27B=0 8B=1 14B=1 remaining
[19:30:26] Waiting: 27B=0 8B=1 14B=1 remaining
[19:30:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:31:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:31:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:31:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:32:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:32:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:32:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:33:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:33:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:33:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:34:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:34:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:34:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:35:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:35:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:35:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:36:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:36:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:36:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:37:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:37:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:37:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:38:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:38:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:38:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:39:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:39:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:39:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:40:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:40:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:40:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:41:07] Waiting: 27B=0 8B=1 14B=1 remaining
[19:41:27] Waiting: 27B=0 8B=1 14B=1 remaining
[19:41:47] Waiting: 27B=0 8B=1 14B=1 remaining
[19:42:07] Waiting: 27B=0 8B=1 14B=1 remaining
