
GEPA Optimization:   0%|          | 0/2061 [00:00<?, ?rollouts/s]
GEPA Optimization:  15%|#4        | 300/2061 [06:04<35:41,  1.22s/rollouts]
GEPA Optimization:  15%|#4        | 303/2061 [06:07<35:31,  1.21s/rollouts]
GEPA Optimization:  15%|#4        | 309/2061 [06:27<37:40,  1.29s/rollouts]
GEPA Optimization:  15%|#5        | 312/2061 [06:31<37:47,  1.30s/rollouts]
GEPA Optimization:  15%|#5        | 315/2061 [06:35<37:42,  1.30s/rollouts]
GEPA Optimization:  15%|#5        | 318/2061 [06:48<42:00,  1.45s/rollouts]
GEPA Optimization:  16%|#5        | 321/2061 [06:52<41:59,  1.45s/rollouts]
GEPA Optimization:  16%|#5        | 324/2061 [06:57<42:33,  1.47s/rollouts]
GEPA Optimization:  16%|#5        | 327/2061 [07:02<42:18,  1.46s/rollouts]
GEPA Optimization:  16%|#6        | 330/2061 [07:05<40:58,  1.42s/rollouts]
GEPA Optimization:  16%|#6        | 333/2061 [07:09<39:51,  1.38s/rollouts]
GEPA Optimization:  16%|#6        | 336/2061 [07:11<36:56,  1.28s/rollouts]
GEPA Optimization:  17%|#6        | 342/2061 [07:35<1:04:12,  2.24s/rollouts]
GEPA Optimization:  17%|#6        | 348/2061 [07:51<1:07:02,  2.35s/rollouts]
GEPA Optimization:  17%|#7        | 351/2061 [07:54<1:00:35,  2.13s/rollouts]
GEPA Optimization:  17%|#7        | 354/2061 [07:57<53:51,  1.89s/rollouts]  
GEPA Optimization:  17%|#7        | 360/2061 [08:18<1:10:24,  2.48s/rollouts]
GEPA Optimization:  18%|#7        | 366/2061 [08:34<1:11:22,  2.53s/rollouts]
GEPA Optimization:  18%|#8        | 372/2061 [08:56<1:22:18,  2.92s/rollouts]
GEPA Optimization:  18%|#8        | 375/2061 [09:01<1:15:10,  2.68s/rollouts]
GEPA Optimization:  18%|#8        | 378/2061 [09:03<1:02:35,  2.23s/rollouts]
GEPA Optimization:  18%|#8        | 381/2061 [09:05<53:46,  1.92s/rollouts]  
GEPA Optimization:  19%|#8        | 384/2061 [09:08<45:38,  1.63s/rollouts]
GEPA Optimization:  19%|#8        | 387/2061 [09:11<41:45,  1.50s/rollouts]
GEPA Optimization:  19%|#9        | 393/2061 [09:30<1:01:37,  2.22s/rollouts]
GEPA Optimization:  19%|#9        | 396/2061 [09:35<56:45,  2.05s/rollouts]  
GEPA Optimization:  19%|#9        | 399/2061 [09:39<52:42,  1.90s/rollouts]
GEPA Optimization:  20%|#9        | 402/2061 [09:43<48:06,  1.74s/rollouts]
GEPA Optimization:  20%|#9        | 405/2061 [09:47<45:02,  1.63s/rollouts]
GEPA Optimization:  20%|#9        | 408/2061 [09:50<39:55,  1.45s/rollouts]
GEPA Optimization:  20%|#9        | 411/2061 [09:52<34:40,  1.26s/rollouts]
GEPA Optimization:  20%|##        | 414/2061 [09:55<33:04,  1.21s/rollouts]
GEPA Optimization:  20%|##        | 417/2061 [09:58<29:05,  1.06s/rollouts]
GEPA Optimization:  21%|##        | 423/2061 [10:21<1:05:17,  2.39s/rollouts]
GEPA Optimization:  21%|##        | 426/2061 [10:25<57:35,  2.11s/rollouts]  
GEPA Optimization:  21%|##        | 432/2061 [10:43<1:07:26,  2.48s/rollouts]
GEPA Optimization:  21%|##1       | 435/2061 [10:48<1:01:58,  2.29s/rollouts]
GEPA Optimization:  21%|##1       | 441/2061 [11:07<1:10:22,  2.61s/rollouts]
GEPA Optimization:  22%|##1       | 444/2061 [11:10<1:00:50,  2.26s/rollouts]
GEPA Optimization:  22%|##1       | 447/2061 [11:14<54:37,  2.03s/rollouts]  
GEPA Optimization:  22%|##1       | 450/2061 [11:17<47:10,  1.76s/rollouts]
GEPA Optimization:  22%|##2       | 456/2061 [11:34<1:00:17,  2.25s/rollouts]
GEPA Optimization:  22%|##2       | 462/2061 [11:50<1:03:09,  2.37s/rollouts]
GEPA Optimization:  23%|##2       | 468/2061 [12:05<1:05:14,  2.46s/rollouts]
GEPA Optimization:  23%|##2       | 471/2061 [12:08<56:24,  2.13s/rollouts]  
GEPA Optimization:  23%|##2       | 474/2061 [12:12<51:15,  1.94s/rollouts]
GEPA Optimization:  23%|##3       | 480/2061 [12:30<1:03:18,  2.40s/rollouts]
GEPA Optimization:  24%|##3       | 486/2061 [12:44<1:02:32,  2.38s/rollouts]
GEPA Optimization:  24%|##3       | 489/2061 [12:48<56:33,  2.16s/rollouts]  
GEPA Optimization:  24%|##3       | 492/2061 [12:55<56:34,  2.16s/rollouts]
GEPA Optimization:  24%|##4       | 496/2061 [13:11<1:11:21,  2.74s/rollouts]
GEPA Optimization:  24%|##4       | 499/2061 [13:15<1:02:23,  2.40s/rollouts]
GEPA Optimization:  24%|##4       | 502/2061 [13:18<51:32,  1.98s/rollouts]  
GEPA Optimization:  25%|##4       | 505/2061 [13:37<1:22:57,  3.20s/rollouts]
GEPA Optimization:  39%|###9      | 808/2061 [20:02<27:31,  1.32s/rollouts]  
GEPA Optimization:  39%|###9      | 811/2061 [20:06<27:29,  1.32s/rollouts]
GEPA Optimization:  54%|#####4    | 1114/2061 [25:55<19:05,  1.21s/rollouts]
GEPA Optimization:  54%|#####4    | 1117/2061 [25:58<18:58,  1.21s/rollouts]
GEPA Optimization:  54%|#####4    | 1120/2061 [26:01<18:52,  1.20s/rollouts]
GEPA Optimization:  55%|#####4    | 1126/2061 [26:22<20:01,  1.28s/rollouts]
GEPA Optimization:  55%|#####4    | 1129/2061 [26:26<20:01,  1.29s/rollouts]
GEPA Optimization:  55%|#####4    | 1132/2061 [26:29<19:47,  1.28s/rollouts]
GEPA Optimization:  55%|#####5    | 1135/2061 [26:32<19:33,  1.27s/rollouts]
GEPA Optimization:  55%|#####5    | 1138/2061 [26:56<26:05,  1.70s/rollouts]
GEPA Optimization:  55%|#####5    | 1141/2061 [26:59<24:49,  1.62s/rollouts]
GEPA Optimization:  56%|#####5    | 1147/2061 [27:22<31:11,  2.05s/rollouts]
GEPA Optimization:  56%|#####5    | 1150/2061 [27:26<29:40,  1.95s/rollouts]
