
GEPA Optimization:   0%|          | 0/3936 [00:00<?, ?rollouts/s]
GEPA Optimization:   2%|2         | 95/3936 [05:33<3:45:01,  3.52s/rollouts]
GEPA Optimization:   3%|2         | 101/3936 [05:45<3:36:02,  3.38s/rollouts]
GEPA Optimization:   5%|5         | 199/3936 [11:36<3:39:05,  3.52s/rollouts]
GEPA Optimization:   8%|7         | 297/3936 [17:34<3:37:08,  3.58s/rollouts]
GEPA Optimization:   8%|7         | 303/3936 [18:10<3:42:39,  3.68s/rollouts]
GEPA Optimization:  10%|#         | 401/3936 [23:57<3:32:49,  3.61s/rollouts]
GEPA Optimization:  13%|#2        | 499/3936 [31:11<3:46:01,  3.95s/rollouts]
GEPA Optimization:  15%|#5        | 597/3936 [37:08<3:33:31,  3.84s/rollouts]
GEPA Optimization:  15%|#5        | 603/3936 [37:42<3:36:11,  3.89s/rollouts]
GEPA Optimization:  15%|#5        | 609/3936 [38:14<3:39:25,  3.96s/rollouts]
GEPA Optimization:  16%|#5        | 615/3936 [38:34<3:36:44,  3.92s/rollouts]
GEPA Optimization:  18%|#8        | 713/3936 [44:25<3:20:07,  3.73s/rollouts]
GEPA Optimization:  18%|#8        | 719/3936 [45:29<3:37:32,  4.06s/rollouts]
GEPA Optimization:  18%|#8        | 725/3936 [46:24<3:54:32,  4.38s/rollouts]
GEPA Optimization:  19%|#8        | 731/3936 [46:42<3:48:11,  4.27s/rollouts]
GEPA Optimization:  19%|#8        | 737/3936 [46:53<3:33:48,  4.01s/rollouts]
GEPA Optimization:  19%|#8        | 740/3936 [47:00<3:27:27,  3.89s/rollouts]
GEPA Optimization:  19%|#8        | 746/3936 [47:36<3:44:36,  4.22s/rollouts]
GEPA Optimization:  21%|##1       | 844/3936 [54:06<3:27:39,  4.03s/rollouts]
GEPA Optimization:  24%|##3       | 942/3936 [1:00:34<3:19:14,  3.99s/rollouts]
GEPA Optimization:  24%|##4       | 948/3936 [1:01:04<3:21:17,  4.04s/rollouts]
GEPA Optimization:  24%|##4       | 954/3936 [1:01:25<3:18:57,  4.00s/rollouts]
GEPA Optimization:  27%|##6       | 1052/3936 [1:07:25<3:03:11,  3.81s/rollouts]
GEPA Optimization:  27%|##6       | 1058/3936 [1:08:10<3:11:35,  3.99s/rollouts]
GEPA Optimization:  29%|##9       | 1156/3936 [1:15:06<3:11:14,  4.13s/rollouts]
GEPA Optimization:  32%|###1      | 1254/3936 [1:21:48<3:03:55,  4.11s/rollouts]
GEPA Optimization:  32%|###2      | 1260/3936 [1:22:21<3:05:54,  4.17s/rollouts]
GEPA Optimization:  32%|###2      | 1266/3936 [1:23:05<3:12:15,  4.32s/rollouts]
GEPA Optimization:  32%|###2      | 1272/3936 [1:24:06<3:29:09,  4.71s/rollouts]
GEPA Optimization:  32%|###2      | 1278/3936 [1:24:42<3:33:14,  4.81s/rollouts]
GEPA Optimization:  33%|###2      | 1284/3936 [1:25:24<3:43:31,  5.06s/rollouts]
GEPA Optimization:  33%|###2      | 1290/3936 [1:26:04<3:52:28,  5.27s/rollouts]
GEPA Optimization:  33%|###2      | 1296/3936 [1:26:35<3:51:01,  5.25s/rollouts]
GEPA Optimization:  35%|###5      | 1394/3936 [1:33:26<3:07:16,  4.42s/rollouts]
GEPA Optimization:  38%|###7      | 1492/3936 [1:40:25<2:56:44,  4.34s/rollouts]
GEPA Optimization:  40%|####      | 1590/3936 [1:47:27<2:49:10,  4.33s/rollouts]
GEPA Optimization:  43%|####2     | 1688/3936 [1:54:28<2:41:41,  4.32s/rollouts]
GEPA Optimization:  45%|####5     | 1786/3936 [2:00:59<2:30:31,  4.20s/rollouts]
GEPA Optimization:  46%|####5     | 1792/3936 [2:01:43<2:33:23,  4.29s/rollouts]
GEPA Optimization:  48%|####8     | 1890/3936 [2:08:26<2:23:55,  4.22s/rollouts]
GEPA Optimization:  51%|#####     | 1988/3936 [2:15:43<2:19:54,  4.31s/rollouts]
GEPA Optimization:  51%|#####     | 1994/3936 [2:16:17<2:20:45,  4.35s/rollouts]
GEPA Optimization:  51%|#####     | 2000/3936 [2:16:50<2:22:03,  4.40s/rollouts]
GEPA Optimization:  53%|#####3    | 2098/3936 [2:23:52<2:13:18,  4.35s/rollouts]
GEPA Optimization:  53%|#####3    | 2104/3936 [2:24:28<2:14:57,  4.42s/rollouts]
GEPA Optimization:  54%|#####3    | 2107/3936 [2:24:55<2:18:53,  4.56s/rollouts]
GEPA Optimization:  54%|#####3    | 2113/3936 [2:25:47<2:27:46,  4.86s/rollouts]
GEPA Optimization:  54%|#####3    | 2119/3936 [2:26:09<2:23:46,  4.75s/rollouts]
GEPA Optimization:  54%|#####3    | 2125/3936 [2:26:46<2:28:54,  4.93s/rollouts]
GEPA Optimization:  54%|#####4    | 2131/3936 [2:27:23<2:34:04,  5.12s/rollouts]
GEPA Optimization:  57%|#####6    | 2229/3936 [2:32:20<1:39:15,  3.49s/rollouts]
GEPA Optimization:  59%|#####9    | 2327/3936 [2:39:17<1:44:28,  3.90s/rollouts]
GEPA Optimization:  59%|#####9    | 2333/3936 [2:39:53<1:46:30,  3.99s/rollouts]
GEPA Optimization:  59%|#####9    | 2339/3936 [2:40:53<1:55:37,  4.34s/rollouts]
GEPA Optimization:  60%|#####9    | 2345/3936 [2:41:36<2:01:02,  4.56s/rollouts]
GEPA Optimization:  62%|######2   | 2443/3936 [2:48:12<1:45:12,  4.23s/rollouts]
GEPA Optimization:  62%|######2   | 2449/3936 [2:49:20<1:54:01,  4.60s/rollouts]
GEPA Optimization:  62%|######2   | 2455/3936 [2:50:09<2:00:00,  4.86s/rollouts]
GEPA Optimization:  63%|######2   | 2461/3936 [2:50:38<1:59:17,  4.85s/rollouts]
GEPA Optimization:  63%|######2   | 2467/3936 [2:51:30<2:09:33,  5.29s/rollouts]
GEPA Optimization:  63%|######2   | 2470/3936 [2:52:16<2:27:59,  6.06s/rollouts]
GEPA Optimization:  65%|######5   | 2568/3936 [2:58:32<1:38:42,  4.33s/rollouts]
GEPA Optimization:  65%|######5   | 2571/3936 [2:59:21<1:47:31,  4.73s/rollouts]
GEPA Optimization:  65%|######5   | 2577/3936 [3:00:43<2:04:20,  5.49s/rollouts]
GEPA Optimization:  68%|######7   | 2676/3936 [3:07:57<1:39:43,  4.75s/rollouts]
GEPA Optimization:  68%|######8   | 2682/3936 [3:08:16<1:37:23,  4.66s/rollouts]
GEPA Optimization:  68%|######8   | 2685/3936 [3:08:50<1:42:34,  4.92s/rollouts]
GEPA Optimization:  71%|#######   | 2783/3936 [3:15:31<1:24:22,  4.39s/rollouts]
GEPA Optimization:  71%|#######   | 2786/3936 [3:16:16<1:29:34,  4.67s/rollouts]
GEPA Optimization:  71%|#######   | 2792/3936 [3:17:03<1:33:24,  4.90s/rollouts]
GEPA Optimization:  71%|#######1  | 2795/3936 [3:17:38<1:39:38,  5.24s/rollouts]
GEPA Optimization:  71%|#######1  | 2801/3936 [3:18:33<1:48:04,  5.71s/rollouts]
GEPA Optimization:  71%|#######1  | 2804/3936 [3:19:21<2:03:17,  6.53s/rollouts]
GEPA Optimization:  71%|#######1  | 2807/3936 [3:20:11<2:23:06,  7.61s/rollouts]
GEPA Optimization:  71%|#######1  | 2813/3936 [3:21:12<2:33:12,  8.19s/rollouts]
GEPA Optimization:  72%|#######1  | 2819/3936 [3:21:32<2:10:05,  6.99s/rollouts]
GEPA Optimization:  72%|#######1  | 2825/3936 [3:22:02<1:59:28,  6.45s/rollouts]
GEPA Optimization:  74%|#######4  | 2923/3936 [3:28:41<1:14:26,  4.41s/rollouts]
GEPA Optimization:  77%|#######6  | 3021/3936 [3:36:47<1:11:55,  4.72s/rollouts]
GEPA Optimization:  77%|#######6  | 3027/3936 [3:37:05<1:10:13,  4.63s/rollouts]
GEPA Optimization:  79%|#######9  | 3126/3936 [3:43:42<58:11,  4.31s/rollouts]  
GEPA Optimization:  79%|#######9  | 3129/3936 [3:44:30<1:01:24,  4.57s/rollouts]
GEPA Optimization:  82%|########1 | 3227/3936 [3:49:39<45:28,  3.85s/rollouts]  
GEPA Optimization:  82%|########2 | 3230/3936 [3:50:35<49:08,  4.18s/rollouts]
GEPA Optimization:  82%|########2 | 3236/3936 [3:51:54<54:46,  4.69s/rollouts]
GEPA Optimization:  85%|########4 | 3334/3936 [4:00:48<51:29,  5.13s/rollouts]
GEPA Optimization:  85%|########4 | 3337/3936 [4:00:53<50:22,  5.05s/rollouts]
GEPA Optimization:  85%|########4 | 3343/3936 [4:01:40<51:38,  5.22s/rollouts]
GEPA Optimization:  87%|########7 | 3441/3936 [4:08:22<37:31,  4.55s/rollouts]
GEPA Optimization:  90%|########9 | 3539/3936 [4:13:41<26:07,  3.95s/rollouts]
GEPA Optimization:  90%|######### | 3545/3936 [4:14:16<26:13,  4.02s/rollouts]
GEPA Optimization:  90%|######### | 3551/3936 [4:14:48<26:12,  4.08s/rollouts]
GEPA Optimization:  90%|######### | 3554/3936 [4:15:26<27:59,  4.40s/rollouts]
GEPA Optimization:  90%|######### | 3560/3936 [4:16:16<29:57,  4.78s/rollouts]
GEPA Optimization:  93%|#########2| 3658/3936 [4:24:01<22:02,  4.76s/rollouts]
GEPA Optimization:  93%|#########3| 3661/3936 [4:24:03<21:14,  4.64s/rollouts]
GEPA Optimization:  93%|#########3| 3664/3936 [4:24:09<20:32,  4.53s/rollouts]
GEPA Optimization:  93%|#########3| 3667/3936 [4:24:11<19:22,  4.32s/rollouts]
GEPA Optimization:  96%|#########5| 3765/3936 [4:30:51<11:48,  4.15s/rollouts]
GEPA Optimization:  96%|#########5| 3771/3936 [4:31:16<11:23,  4.14s/rollouts]
GEPA Optimization:  98%|#########8| 3869/3936 [4:38:11<04:41,  4.20s/rollouts]
GEPA Optimization:  98%|#########8| 3875/3936 [4:39:06<04:30,  4.44s/rollouts]
GEPA Optimization:  99%|#########8| 3881/3936 [4:39:29<04:01,  4.40s/rollouts]
GEPA Optimization:  99%|#########8| 3887/3936 [4:40:04<03:41,  4.52s/rollouts]
GEPA Optimization:  99%|#########8| 3887/3936 [4:46:54<03:37,  4.43s/rollouts]
